Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","How would i even make it without PCB",1,11.34,"https://jlcpcb.com","jlcpcb"
"Pin header 2.54mm","soldered onto the pcb then on top of that is the esp32(so it can be visible), the rotary encoder needs this as well",1,3.08,"https://www.aliexpress.com/item/4000873858801.html","Aliepress"
"1N4148W T4 SOD-123(Diode)","needed in switch matrix(prevents ghosting)",1,2.16,"https://www.aliexpress.com/item/1005010653199938.html","Aliexpress"
"Seeed xiao ESP32 S3","brain of everything, needed to power use and control all switches and rotary encoder",1,9.06,"https://www.aliexpress.com/item/1005007341749305.html","Aliepress"
"M4 screws 20pcs, 8mm","screwed into heatset inserts to hold case and pcb together",1,2.16,"https://www.aliexpress.com/item/32810872544.html","Aliexpress"
"Heatset inserts, M4 (OD5mm) 30pcs, Length 3mm","Will be melted into the 3D printed case and screws will be inserted into it to hold the case together",1,2.43,"https://www.aliexpress.com/item/1005008666672949.html","Aliexpress"
"Battery holder","Holds battery in place",1,1.84,"https://www.aliexpress.com/item/1005006783038553.html","Aliexpress"
"Battery","to store electricity and later power the esp32",1,8.85,"https://www.aliexpress.com/item/32810182330.html","Aliexpress"
"Slide switch","shut power to esp32 so it wont consume electricity when not used",1,1.80,"https://www.aliexpress.com/item/1005005633418066.html","Aliexpress"
"Charging module","safely power esp32 and charge battery",1,2.00,"https://www.aliexpress.com/item/1005007176376691.html","Aliexpress"
"Key switches","To use the macropad, (Self sourced)",1,0.00,"https://www.aliexpress.com/item/1005007666734237.html","Aliexpress"
"Rotary encoder","is a part on the pcb",1,1.47,"https://www.aliexpress.com/item/1005009040530746.html","Aliexpress"